mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_169,c1cn[nH]n1,10.3093,9.81117,5.02703,0.0597,35.3,-0.2742,-0.0055,0.2687,265.6333,0.059852,-242.18601,-242.182459,-242.181515,-242.212163,11.936,-778.1513206,-783.0327131,-787.1811751,-727.946208
gdb_738,Cc1cn[nH]n1,9.45338,3.55163,2.62373,0.5006,47.14,-0.2584,0.0012,0.2596,481.1012,0.087282,-281.482952,-281.47767,-281.476726,-281.511891,18.12,-1060.294427,-1066.755887,-1072.68271,-989.3394745
gdb_749,Cn1nccn1,9.28884,3.90083,2.79631,0.4905,47.91,-0.2587,-0.0011,0.2577,460.0451,0.087299,-281.476967,-281.471735,-281.470791,-281.506215,17.47,-1056.538786,-1063.031621,-1068.958444,-985.7777334
gdb_768,c1c(n[nH]n1)N,9.67915,3.70809,2.6898,1.525,43.82,-0.2181,0.006,0.2241,451.4203,0.076571,-297.530335,-297.525359,-297.524415,-297.558364,18.02,-941.4235148,-947.1878125,-952.521639,-876.2749029
gdb_786,c1c(n[nH]n1)O,9.81669,3.7809,2.7296,1.2703,39.79,-0.2405,-0.0028,0.2377,431.818,0.064229,-317.408548,-317.403907,-317.402963,-317.436318,16.703,-877.2720147,-882.3579752,-887.0988056,-818.6984421
gdb_3643,C#Cc1cn[nH]n1,9.94865,1.99077,1.65883,0.2602,56.63,-0.2502,-0.0263,0.2239,675.1099,0.068776,-318.327053,-318.321532,-318.320588,-318.356271,20.086,-1058.960971,-1064.384531,-1069.71773,-992.4249363
gdb_3701,Cc1c(n[nH]n1)C,3.59589,3.41248,1.78973,0.6497,58.7,-0.2461,0.0073,0.2534,693.1978,0.114674,-320.779994,-320.773005,-320.772061,-320.811211,24.293,-1342.500285,-1350.556873,-1358.262056,-1250.476717
gdb_3702,Cc1c(n[nH]n1)N,3.71138,3.47428,1.81917,1.4768,55.55,-0.212,0.0121,0.224,663.9821,0.103997,-336.82739,-336.820658,-336.819714,-336.857867,24.145,-1223.63753,-1230.966208,-1238.078395,-1137.52698
gdb_3703,Cc1c(n[nH]n1)O,3.7584,3.50681,1.83473,0.8337,51.65,-0.2301,0.0046,0.2347,645.063,0.091585,-356.705991,-356.699516,-356.698572,-356.736444,22.94,-1159.729503,-1166.330898,-1172.850089,-1080.341457
gdb_3724,CCc1cn[nH]n1,7.04001,1.88386,1.66555,0.5055,58.34,-0.2583,-0.0005,0.2579,759.1156,0.116027,-320.770681,-320.764186,-320.763242,-320.801981,22.862,-1336.656293,-1345.022871,-1352.728054,-1244.684809
gdb_3735,CCn1nccn1,6.89105,2.07477,1.81204,0.6337,59.12,-0.2569,0.0007,0.2576,717.6135,0.115917,-320.768781,-320.762423,-320.761479,-320.799831,22.306,-1335.464026,-1343.916573,-1351.621756,-1243.335665
gdb_3753,Cc1cnn(n1)C,6.96095,2.15439,1.67999,0.3156,60.25,-0.2452,0.0049,0.2501,740.5243,0.114649,-320.773768,-320.766719,-320.765775,-320.805975,23.628,-1338.593414,-1346.612351,-1354.317534,-1247.19108
gdb_3754,Cn1ncc(n1)N,7.13247,2.20447,1.7057,1.318,57.15,-0.2105,0.0095,0.22,706.6413,0.104073,-336.821088,-336.81443,-336.813486,-336.852076,23.372,-1219.682968,-1227.058081,-1234.170268,-1133.893075
gdb_3755,Cn1ncc(n1)O,7.20853,2.2238,1.71797,1.5836,52.81,-0.2303,0.0013,0.2316,684.4113,0.091782,-356.699504,-356.6932,-356.692256,-356.730145,22.048,-1155.658852,-1162.367551,-1168.886742,-1076.388778
gdb_3791,CNc1cn[nH]n1,7.79974,2.01883,1.63349,1.5447,55.72,-0.2067,0.0068,0.2135,726.3864,0.104677,-336.811744,-336.805321,-336.804376,-336.842191,22.741,-1213.819524,-1221.342102,-1228.453662,-1127.690149
