mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_217,c1cncnc1,6.30165,6.09672,3.09875,2.2031,48.47,-0.2531,-0.0415,0.2116,408.2875,0.076933,-264.261826,-264.257646,-264.256702,-264.289179,15.138,-1070.482663,-1076.747713,-1082.08154,-1005.526069
gdb_934,Cc1cncnc1,5.91694,2.64168,1.84728,2.678,60.88,-0.2478,-0.0379,0.2099,662.268,0.104175,-303.556846,-303.550797,-303.549852,-303.588065,21.246,-1351.419698,-1359.178219,-1366.289778,-1266.390973
gdb_936,Cc1ncccn1,5.90331,2.75259,1.89923,1.565,61.2,-0.2443,-0.0361,0.2082,651.2143,0.103946,-303.560907,-303.554892,-303.553948,-303.591796,21.333,-1353.968012,-1361.747868,-1368.860055,-1268.732209
gdb_938,Cc1ccncn1,6.06085,2.64818,1.86411,2.4107,60.93,-0.2484,-0.0362,0.2122,657.9913,0.104172,-303.56035,-303.554385,-303.553441,-303.590692,21.248,-1353.618489,-1361.429721,-1368.541908,-1268.039439
gdb_943,c1c(cncn1)N,6.01047,2.73055,1.88051,3.7857,58.89,-0.2275,-0.0332,0.1943,629.4268,0.093496,-319.606765,-319.601195,-319.600251,-319.635829,21.137,-1234.140148,-1241.310066,-1247.829257,-1154.136516
gdb_945,c1cnc(nc1)N,5.96876,2.88574,1.94665,0.6185,58.83,-0.2261,-0.0272,0.1989,615.2639,0.093849,-319.624414,-319.618911,-319.617967,-319.653407,21.04,-1245.215054,-1252.427015,-1258.946206,-1165.166869
gdb_947,c1cncnc1N,6.14402,2.75995,1.90595,3.6179,58.46,-0.2369,-0.0189,0.218,622.7457,0.093894,-319.62156,-319.616041,-319.615097,-319.650559,21.044,-1243.424144,-1250.626065,-1257.145256,-1163.379723
gdb_953,c1c(cncn1)O,6.04892,2.75968,1.89509,2.7383,54.08,-0.2509,-0.0425,0.2084,609.0979,0.081173,-339.482903,-339.477651,-339.476706,-339.51177,19.707,-1168.686567,-1175.16748,-1181.093047,-1095.296879
gdb_955,c1cnc(nc1)O,6.04127,2.91204,1.96491,2.4022,53.76,-0.2562,-0.0416,0.2146,595.6777,0.081975,-339.501361,-339.496327,-339.495383,-339.530088,19.027,-1180.269128,-1186.886838,-1192.813033,-1106.791589
gdb_957,c1cncnc1O,6.19703,2.7938,1.92566,1.3708,53.65,-0.2607,-0.0323,0.2284,601.9424,0.082009,-339.501781,-339.49673,-339.495786,-339.530512,19.055,-1180.532682,-1187.139724,-1193.065919,-1107.057653
gdb_4212,c1c(cncn1)F,6.06795,2.70281,1.86991,1.0018,49.78,-0.2608,-0.0539,0.2069,593.2708,0.068855,-363.504227,-363.499332,-363.498388,-363.532944,18.01,-1085.507739,-1091.32412,-1096.657319,-1018.79663
gdb_4214,c1cnc(nc1)F,6.11303,2.84218,1.94013,3.4815,49.41,-0.269,-0.054,0.2149,581.0486,0.069183,-363.519194,-363.514378,-363.513434,-363.547867,17.709,-1094.899666,-1100.76562,-1106.098819,-1028.160946
gdb_4216,c1cncnc1F,6.25917,2.72039,1.89624,1.9091,49.34,-0.2718,-0.0449,0.2269,587.8896,0.069165,-363.517297,-363.512453,-363.511509,-363.545987,17.794,-1093.709281,-1099.557665,-1104.890864,-1026.981229
gdb_4339,Cc1cc(ncn1)C,4.04059,1.78426,1.25687,2.4264,73.66,-0.2443,-0.0311,0.2132,961.1423,0.131409,-342.858741,-342.85097,-342.850026,-342.891926,27.371,-1636.670856,-1646.015093,-1654.90564,-1530.377734
gdb_4344,Cc1ccnc(n1)N,3.81693,1.96229,1.30714,0.8568,71.33,-0.2222,-0.0232,0.199,905.5643,0.121069,-358.922593,-358.915277,-358.914333,-358.954552,27.156,-1528.13439,-1536.874963,-1545.172514,-1427.449316
gdb_4346,Cc1ccnc(n1)O,3.88501,1.95966,1.31314,2.2668,66.28,-0.2515,-0.0364,0.2151,885.167,0.109186,-378.800093,-378.793245,-378.792301,-378.83168,25.171,-1463.535476,-1471.68117,-1479.385725,-1369.354532
gdb_4352,Cc1ccnc(n1)C,3.73477,1.91344,1.28526,1.7927,73.74,-0.2403,-0.0311,0.2092,945.1175,0.131181,-342.859275,-342.851466,-342.850521,-342.892758,27.465,-1637.005946,-1646.326337,-1655.216257,-1530.899822
gdb_4354,Cc1nccc(n1)N,3.79223,1.96544,1.30571,3.132,71.21,-0.2321,-0.0153,0.2168,905.9927,0.120918,-358.920358,-358.913004,-358.91206,-358.952538,27.235,-1526.731907,-1535.448635,-1543.746186,-1426.185512
gdb_4356,Cc1nccc(n1)O,3.81744,1.97575,1.31247,0.958,66.32,-0.2525,-0.0277,0.2248,883.7117,0.109035,-378.801034,-378.794148,-378.793204,-378.832764,25.282,-1464.125962,-1472.247811,-1479.952366,-1370.034752
gdb_4357,Cc1cc(ncn1)N,4.12567,1.82578,1.27634,3.377,71.15,-0.2332,-0.0123,0.2209,921.5252,0.121177,-358.919727,-358.912468,-358.911523,-358.951222,27.143,-1526.335949,-1535.11229,-1543.409214,-1425.359711
gdb_4359,Cc1cc(ncn1)O,4.17317,1.83212,1.28323,1.1739,66.24,-0.2563,-0.0246,0.2317,899.3134,0.109262,-378.800302,-378.793489,-378.792545,-378.831578,25.189,-1463.666625,-1471.834282,-1479.538838,-1369.290526
gdb_4363,c1c(ncnc1N)N,4.22297,1.86398,1.29502,3.4247,68.32,-0.2226,0.0029,0.2255,883.1978,0.110928,-374.979651,-374.972839,-374.971895,-375.010171,26.799,-1415.334627,-1423.502284,-1431.206839,-1320.123941
gdb_4371,c1cnc(nc1N)O,3.96314,2.00907,1.33388,3.0127,63.59,-0.229,-0.0137,0.2153,846.5854,0.098916,-394.862027,-394.855607,-394.854662,-394.892336,24.995,-1353.795447,-1361.320535,-1368.431467,-1265.189921
gdb_4373,c1cnc(nc1O)N,3.91717,2.02177,1.33419,1.4989,63.74,-0.2232,-0.0136,0.2096,845.1216,0.098887,-394.864229,-394.857817,-394.856873,-394.894525,25.017,-1355.177222,-1362.70733,-1369.818889,-1266.563538
gdb_4374,c1c(ncnc1O)N,4.26969,1.87329,1.30273,2.1384,63.54,-0.2344,-0.0076,0.2268,860.4022,0.098893,-394.861157,-394.854718,-394.853774,-394.89148,25.046,-1353.249514,-1360.762679,-1367.874239,-1264.652773
gdb_4378,c1c(ncnc1O)O,4.31714,1.88156,1.31043,0.2116,58.75,-0.2583,-0.0205,0.2378,838.1371,0.08701,-414.741166,-414.735196,-414.734251,-414.771222,23.05,-1290.22502,-1297.143934,-1303.66187,-1208.198298
gdb_4381,c1cnc(nc1O)O,3.92085,2.03874,1.3413,2.4027,58.71,-0.2486,-0.0273,0.2213,823.7481,0.086941,-414.740464,-414.734501,-414.733557,-414.770508,23.067,-1289.784509,-1296.707815,-1303.226379,-1207.750257
