mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_170,c1cnoc1,9.8405,9.63861,4.86926,2.8629,35.74,-0.2677,-0.0138,0.2538,272.9362,0.058014,-245.994065,-245.9905,-245.989556,-246.020256,12.232,-818.5792154,-823.4524503,-827.6009123,-768.7581384
gdb_727,Cc1ccno1,9.28026,3.56436,2.61716,3.1194,48.06,-0.2527,-0.0071,0.2456,483.7794,0.08558,-285.293918,-285.288674,-285.28773,-285.322634,18.293,-1102.549001,-1109.034934,-1114.961756,-1031.814304
gdb_732,Cc1cnoc1,9.1962,3.39821,2.5201,3.2522,47.4,-0.2549,-0.008,0.247,496.1172,0.08571,-285.288405,-285.283174,-285.28223,-285.317103,18.255,-1099.089544,-1105.583634,-1111.510457,-1028.343551
gdb_740,Cc1ccon1,9.19708,3.52282,2.58813,2.8649,47.54,-0.2618,-0.0052,0.2566,487.3888,0.085647,-285.292217,-285.28705,-285.286106,-285.320703,18.326,-1101.481608,-1108.015859,-1113.942682,-1030.602584
gdb_757,c1cnoc1N,9.47028,3.73148,2.68299,3.8286,44.81,-0.218,0.0127,0.2307,454.2223,0.0748,-301.343578,-301.338618,-301.337674,-301.371585,18.261,-985.1069263,-990.8818916,-996.2157181,-920.3046994
gdb_762,c1c(con1)N,9.42742,3.52572,2.57455,3.9291,44.15,-0.2186,-0.0048,0.2138,467.0228,0.074853,-301.330754,-301.325742,-301.324798,-301.358946,18.119,-977.0597509,-982.8020858,-988.1359123,-912.3736131
gdb_770,c1conc1N,9.39312,3.67878,2.65177,3.1792,44.1,-0.2328,0.0029,0.2357,457.8147,0.07509,-301.341304,-301.336451,-301.335506,-301.36923,17.997,-983.6799709,-989.5220796,-994.8552786,-918.8269157
gdb_788,c1conc1O,9.52134,3.75318,2.69202,1.6519,40.1,-0.2581,-0.0063,0.2518,438.1162,0.062841,-321.219665,-321.215152,-321.214207,-321.247368,16.549,-919.6213421,-924.7882512,-929.5284542,-861.3659166
gdb_3633,C#Cc1ccno1,9.76796,2.00898,1.66628,2.9145,58.81,-0.2528,-0.0485,0.2043,675.6484,0.067023,-322.135917,-322.130368,-322.129423,-322.165183,20.275,-1099.89652,-1105.303138,-1110.635709,-1033.750796
gdb_3638,C#Cc1cnoc1,9.65334,1.91972,1.60128,2.4093,56.59,-0.2496,-0.0317,0.2179,693.5628,0.066987,-322.135797,-322.130212,-322.129268,-322.165112,20.451,-1099.821219,-1105.205246,-1110.538445,-1033.706243
gdb_3645,C#Cc1ccon1,9.68151,1.98315,1.64599,2.8953,56.53,-0.2637,-0.0382,0.2255,681.1504,0.066972,-322.133444,-322.127893,-322.126949,-322.162707,20.365,-1098.34469,-1103.750053,-1109.083252,-1032.197084
gdb_3653,Cc1cnoc1C,3.58098,3.30023,1.75487,3.368,59.65,-0.2418,-0.0025,0.2393,704.9581,0.113164,-324.58767,-324.580652,-324.579708,-324.619193,24.301,-1382.690354,-1390.729371,-1398.434554,-1291.218994
gdb_3657,Cc1c(cno1)N,3.63407,3.39087,1.77832,3.9418,56.56,-0.2104,-0.0001,0.2104,676.7214,0.102362,-340.629609,-340.622833,-340.621889,-340.660373,24.068,-1260.403282,-1267.704977,-1274.817164,-1174.833017
gdb_3662,Cc1cnoc1N,3.75341,3.31973,1.78425,3.9006,56.34,-0.2097,0.0145,0.2242,675.4115,0.102298,-340.636727,-340.629883,-340.628939,-340.668109,24.208,-1264.869891,-1272.128915,-1279.241102,-1179.687427
gdb_3669,Cc1cc(on1)C,7.58248,1.96879,1.59392,3.0064,60.27,-0.2475,0.0008,0.2483,773.7674,0.113095,-324.592116,-324.585175,-324.584231,-324.623144,24.421,-1385.480259,-1393.567595,-1401.272778,-1293.698282
gdb_3671,Cc1cc(no1)N,7.70021,2.01856,1.61857,3.1721,56.75,-0.226,0.0088,0.2348,738.6505,0.102564,-340.641282,-340.63467,-340.633726,-340.671701,24.08,-1267.728195,-1275.132801,-1282.244988,-1181.941439
gdb_3673,Cc1cc(no1)O,7.83458,2.03311,1.63058,1.9537,52.61,-0.247,0.0004,0.2474,716.0947,0.090286,-360.520081,-360.513792,-360.512848,-360.550356,22.655,-1203.944415,-1210.663154,-1217.182345,-1124.804862
gdb_3680,Cc1conc1C,3.63878,3.24223,1.75178,3.228,58.85,-0.2498,0.0001,0.2499,704.7065,0.113283,-324.586663,-324.579808,-324.578864,-324.617459,24.335,-1382.058452,-1390.199754,-1397.904937,-1290.130894
gdb_3681,Cc1conc1N,3.7875,3.28295,1.78202,3.4669,55.54,-0.2301,0.0088,0.2388,674.9587,0.102779,-340.635968,-340.629419,-340.628475,-340.666206,23.958,-1264.393612,-1271.837751,-1278.949938,-1178.493277
gdb_3682,Cc1conc1O,3.83551,3.31527,1.798,2.0641,51.68,-0.2538,0.0009,0.2547,656.0448,0.09054,-360.514766,-360.508513,-360.507569,-360.544911,22.563,-1200.609205,-1207.350534,-1213.869725,-1121.388076
gdb_3707,Cc1cc(on1)N,7.7438,2.01847,1.61953,3.6044,56.97,-0.2139,0.0205,0.2344,738.1728,0.102364,-340.641866,-340.635241,-340.634297,-340.67209,24.35,-1268.09466,-1275.491109,-1282.603296,-1182.18554
gdb_3709,Cc1c(con1)N,3.75327,3.30139,1.78029,3.8733,55.74,-0.2146,0.0035,0.2181,675.0011,0.102447,-340.629283,-340.622621,-340.621677,-340.659656,24.167,-1260.198714,-1267.571945,-1274.684132,-1174.383094
gdb_3713,CCc1ccno1,6.9613,1.94664,1.66785,3.0629,59.36,-0.2518,-0.0069,0.2449,754.7058,0.114351,-324.581906,-324.575436,-324.574491,-324.612826,23.049,-1379.073392,-1387.456284,-1395.16084,-1287.223644
gdb_3718,CCc1cnoc1,6.94839,1.82223,1.58521,3.2791,58.51,-0.2544,-0.0084,0.246,781.6857,0.11437,-324.576188,-324.569714,-324.56877,-324.607192,23.027,-1375.485295,-1383.865678,-1391.570861,-1283.688259
gdb_3726,CCc1ccon1,6.97654,1.88583,1.6273,2.8569,58.67,-0.2611,-0.0058,0.2552,767.4371,0.114278,-324.579943,-324.573481,-324.572537,-324.610824,23.126,-1377.841592,-1386.229504,-1393.934687,-1285.967371
gdb_3780,CNc1ccno1,7.61804,2.08998,1.66417,3.9931,57.3,-0.2065,0.0175,0.224,718.8532,0.102917,-340.625366,-340.61887,-340.617926,-340.655883,23.074,-1257.740762,-1265.218159,-1272.330346,-1172.015502
gdb_3785,CNc1cnoc1,7.69837,1.94875,1.57531,4.071,55.77,-0.2106,-0.0024,0.2082,745.042,0.103085,-340.613243,-340.606938,-340.605994,-340.643505,22.754,-1250.13347,-1257.730721,-1264.842908,-1164.248196
