mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_53,c1cocn1,10.10926,9.69372,4.94857,1.5081,35.17,-0.2509,0.001,0.2519,269.2444,0.058593,-246.02915,-246.025614,-246.024669,-246.055309,12.04,-840.5953687,-845.4868013,-849.6346358,-790.7542113
gdb_192,Cc1cnco1,9.35773,3.58145,2.6326,2.0636,47.63,-0.2364,0.0066,0.243,481.0455,0.086244,-285.328258,-285.323118,-285.322174,-285.356714,18.024,-1124.09766,-1130.648854,-1136.575676,-1053.19981
gdb_193,Cc1ncco1,9.16324,3.7188,2.68951,1.3368,47.52,-0.2371,0.0082,0.2453,474.9666,0.086046,-285.330157,-285.32495,-285.324006,-285.358812,18.156,-1125.289299,-1131.79845,-1137.725273,-1054.516324
gdb_196,c1c(ocn1)N,9.58198,3.73874,2.69846,2.9659,44.3,-0.2049,0.0202,0.2251,451.8468,0.075243,-301.373496,-301.368495,-301.36755,-301.401649,18.0,-1003.880741,-1009.629978,-1014.963177,-939.17013
gdb_197,c1coc(n1)N,9.35884,3.9125,2.76625,1.8589,43.86,-0.2088,0.0284,0.2373,444.8744,0.075481,-301.381127,-301.376265,-301.375321,-301.409022,17.958,-1008.669262,-1014.505723,-1019.839549,-943.7967538
gdb_204,Cc1cocn1,9.29377,3.53254,2.60086,1.3204,47.12,-0.2395,0.0074,0.2468,485.0096,0.086195,-285.326726,-285.321574,-285.32063,-285.355221,18.123,-1123.136316,-1129.67998,-1135.606802,-1052.26294
gdb_208,c1c(nco1)N,9.54923,3.68153,2.66498,1.6737,43.75,-0.2057,0.0107,0.2164,455.3577,0.075457,-301.373831,-301.368911,-301.367967,-301.401842,17.986,-1004.090956,-1009.891022,-1015.224848,-939.2912392
gdb_211,c1c(nco1)O,9.6847,3.7549,2.70582,0.4508,39.79,-0.2242,0.001,0.2252,435.5044,0.063161,-321.252793,-321.24821,-321.247265,-321.280543,16.639,-940.4094603,-945.5324437,-950.2726467,-882.1835277
gdb_842,Cc1coc(n1)N,7.12861,2.13449,1.6621,1.5474,56.14,-0.2026,0.0352,0.2377,723.5225,0.103063,-340.678945,-340.67244,-340.671496,-340.708998,24.035,-1291.362066,-1298.833816,-1305.946003,-1205.345643
gdb_843,Cc1coc(n1)O,7.28598,2.14214,1.67258,2.5185,51.67,-0.2205,0.0268,0.2473,703.0693,0.090583,-360.553317,-360.54707,-360.546126,-360.583218,22.747,-1224.800304,-1231.545398,-1238.064589,-1145.426063
gdb_845,Cc1coc(n1)C,6.96415,2.07749,1.63256,1.0064,59.82,-0.2274,0.014,0.2414,759.2008,0.113597,-324.627681,-324.620808,-324.619864,-324.658563,24.251,-1407.797616,-1415.927623,-1423.632806,-1315.924024
gdb_846,Cc1nc(co1)N,7.04294,2.13598,1.6589,1.2965,56.39,-0.1971,0.0174,0.2145,724.1518,0.1028,-340.674744,-340.668051,-340.667106,-340.705321,24.134,-1288.725901,-1296.079679,-1303.191238,-1203.038292
gdb_848,Cc1nc(co1)O,7.13045,2.15289,1.6708,1.1474,52.27,-0.2136,0.0085,0.2221,701.6757,0.090513,-360.554015,-360.547651,-360.546706,-360.584384,22.795,-1225.238305,-1231.909981,-1238.428545,-1146.157739
gdb_855,c1c(nc(o1)O)N,7.3681,2.20598,1.7008,2.3447,48.16,-0.195,0.0349,0.2299,668.3308,0.079813,-376.600944,-376.594888,-376.593944,-376.63045,22.672,-1106.082504,-1112.058272,-1117.984467,-1032.837771
gdb_856,c1c(nc(o1)N)N,7.20274,2.19711,1.68935,2.1678,52.57,-0.182,0.0417,0.2236,688.8067,0.092273,-356.726146,-356.719817,-356.718873,-356.75582,23.972,-1172.376947,-1179.069958,-1185.589149,-1092.500072
gdb_858,c1c(nc(o1)N)O,7.29061,2.21579,1.70181,2.3094,48.44,-0.1945,0.0344,0.2288,666.4198,0.07996,-376.605641,-376.59963,-376.598686,-376.635072,22.685,-1109.029914,-1115.03392,-1120.960115,-1035.738117
