mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_172,c1ncon1,10.39572,10.14933,5.13552,1.126,31.56,-0.3054,-0.0335,0.2719,253.56,0.046608,-262.056533,-262.053124,-262.05218,-262.082625,11.003,-709.1742763,-713.2562223,-716.8116883,-665.6684498
gdb_735,Cc1ncno1,9.67338,3.72795,2.73673,1.8949,43.55,-0.2874,-0.0235,0.2639,457.4821,0.074104,-301.359287,-301.354167,-301.353223,-301.388116,17.122,-994.9644652,-1000.639029,-1005.972856,-930.6780507
gdb_741,Cc1ncon1,9.57415,3.68605,2.7061,1.0701,43.3,-0.2916,-0.0228,0.2687,460.9254,0.074202,-301.357553,-301.352551,-301.351607,-301.385939,17.13,-993.8763646,-999.6249745,-1004.958801,-929.3119636
gdb_765,c1nc(on1)N,9.86886,3.93452,2.81731,3.0643,40.19,-0.2475,0.0015,0.249,427.0676,0.063595,-317.41389,-317.409159,-317.408214,-317.441698,17.011,-880.6241678,-885.6536524,-890.3938554,-822.0744405
gdb_771,c1nc(no1)N,9.79231,3.875,2.78226,1.8006,39.9,-0.2447,-0.0138,0.2309,430.7491,0.06371,-317.409527,-317.404846,-317.403902,-317.437319,16.859,-877.886346,-882.9472061,-887.6880366,-819.3265786
gdb_789,c1nc(no1)O,9.95029,3.94579,2.82538,2.7179,35.95,-0.2744,-0.0275,0.2469,412.1914,0.0514,-337.28389,-337.279525,-337.27858,-337.311504,15.356,-811.3189363,-815.6895365,-819.8367434,-759.3850364
gdb_3640,C#Cc1ncno1,10.20863,2.07599,1.72517,1.6863,53.73,-0.2809,-0.0666,0.2143,645.709,0.055518,-338.195462,-338.190085,-338.189141,-338.224631,19.038,-988.6573722,-993.2827411,-998.0229441,-928.8281541
gdb_3646,C#Cc1ncon1,10.1078,2.04649,1.70191,1.0381,52.08,-0.2778,-0.0529,0.2249,651.7952,0.05546,-338.194242,-338.188862,-338.187918,-338.223412,19.13,-987.8918113,-992.5152976,-997.2555006,-928.0632207
gdb_3684,Cc1nc(on1)C,7.42024,2.10254,1.67234,1.5938,55.64,-0.2761,-0.0138,0.2623,733.3854,0.101619,-340.660106,-340.653314,-340.65237,-340.691244,23.266,-1279.540424,-1286.832079,-1293.944266,-1194.204848
gdb_3686,Cc1nc(no1)N,7.51908,2.16795,1.70292,1.8952,52.17,-0.2359,-0.005,0.2308,697.688,0.09111,-356.712023,-356.705546,-356.704602,-356.74262,22.978,-1163.514638,-1170.114777,-1176.633968,-1084.216953
gdb_3688,Cc1nc(no1)O,7.5822,2.18673,1.71534,3.3509,48.02,-0.262,-0.0173,0.2448,676.4096,0.078737,-376.587043,-376.580822,-376.579877,-376.617925,21.523,-1097.359501,-1103.231731,-1109.157298,-1024.978221
gdb_3708,Cc1nc(on1)N,7.566,2.16842,1.70487,2.6757,52.25,-0.241,0.0111,0.2521,696.961,0.091162,-356.714706,-356.708346,-356.707402,-356.744664,23.105,-1165.198244,-1171.871802,-1178.390993,-1085.499581
gdb_3721,CCc1ncno1,7.18421,2.00323,1.72739,1.9727,54.73,-0.2855,-0.0226,0.2629,724.09,0.1029,-340.647224,-340.640879,-340.639935,-340.678449,21.87,-1271.456853,-1279.029004,-1286.141191,-1186.17587
gdb_3727,CCc1ncon1,7.20798,1.96805,1.68951,1.166,54.44,-0.2903,-0.0227,0.2676,732.5749,0.102894,-340.645686,-340.639404,-340.63846,-340.676378,21.918,-1270.491744,-1278.103429,-1285.215616,-1184.876299
gdb_3788,CNc1ncno1,7.96841,2.14392,1.71102,3.4272,52.47,-0.2335,0.0076,0.2411,691.0178,0.091696,-356.696744,-356.690383,-356.689439,-356.727281,21.796,-1153.926928,-1160.599858,-1167.119049,-1074.591592
gdb_3794,CNc1ncon1,8.01989,2.08471,1.67573,1.8419,51.81,-0.2306,-0.0091,0.2215,701.4606,0.091707,-356.69264,-356.686363,-356.685419,-356.722954,21.761,-1151.351631,-1158.077272,-1164.596463,-1071.876361
gdb_3804,COc1ncno1,8.07499,2.25881,1.7851,2.2981,48.03,-0.265,-0.0072,0.2578,654.3669,0.079374,-376.564063,-376.558121,-376.557176,-376.59415,20.191,-1082.939344,-1088.986649,-1094.912216,-1010.059194
gdb_3810,COc1ncon1,8.14385,2.19516,1.74822,0.391,47.64,-0.2679,-0.0206,0.2474,664.3404,0.079538,-376.562796,-376.556964,-376.55602,-376.59265,20.078,-1082.144291,-1088.260621,-1094.186816,-1009.117931
gdb_3820,c1nc(on1)C#N,10.19976,2.09928,1.74096,2.5558,47.78,-0.3231,-0.097,0.2261,622.6547,0.044962,-354.290746,-354.285702,-354.284758,-354.319736,17.126,-899.8447685,-903.7899175,-907.9371245,-846.2806002
gdb_3825,c1nc(no1)C#N,10.09678,2.0721,1.71926,4.1925,46.41,-0.3241,-0.0819,0.2422,627.7821,0.045022,-354.29246,-354.287433,-354.286489,-354.321434,17.121,-900.9203189,-904.8761356,-909.0233426,-847.3461105
gdb_3872,c1(nc(on1)N)N,7.66889,2.23711,1.7362,2.9304,48.65,-0.221,0.0237,0.2447,661.8571,0.08068,-372.766726,-372.760678,-372.759733,-372.796145,22.794,-1049.237091,-1055.217252,-1061.142819,-975.5775746
gdb_3874,c1(nc(no1)O)N,7.72859,2.25869,1.74946,4.386,44.51,-0.2382,0.0135,0.2517,640.5731,0.068317,-392.642251,-392.636486,-392.635542,-392.671509,21.411,-983.3988468,-988.6680399,-994.0012389,-916.3758656
gdb_3890,c1nc(on1)CN,7.85289,2.02596,1.65481,2.4321,50.98,-0.2523,-0.0243,0.228,706.6927,0.09201,-356.685238,-356.679015,-356.67807,-356.715969,21.376,-1146.706809,-1153.466336,-1159.984899,-1067.49321
gdb_3918,c1nc(on1)C=O,8.84153,2.16187,1.73712,2.4151,46.88,-0.2942,-0.1053,0.1889,633.355,0.0557,-375.370023,-375.364682,-375.363738,-375.399489,17.899,-961.520118,-966.1674497,-970.9076527,-901.6212464
gdb_3922,c1nc(no1)C=O,8.87817,2.09426,1.69454,3.5241,45.5,-0.2817,-0.0904,0.1913,644.7354,0.05559,-375.368783,-375.363411,-375.362467,-375.398327,17.984,-960.7420069,-965.3698857,-970.1100887,-900.892081
gdb_3956,c1nc(on1)CO,7.9989,2.04825,1.65318,0.737,47.37,-0.2859,-0.034,0.2519,683.7226,0.079215,-376.564691,-376.5586,-376.557655,-376.595223,20.626,-1083.33342,-1089.287226,-1095.212793,-1010.732511
gdb_3961,c1nc(no1)CO,7.63854,2.02531,1.68139,2.1685,47.11,-0.2846,-0.0343,0.2503,683.3589,0.079608,-376.563238,-376.557315,-376.556371,-376.593512,20.437,-1082.42165,-1088.480876,-1094.407071,-1009.658843
gdb_20320,C#CCc1ncno1,6.0197,1.3638,1.21665,1.5738,60.35,-0.2808,-0.031,0.2497,940.8601,0.083719,-377.485798,-377.478915,-377.477971,-377.518127,24.148,-1266.655154,-1273.00178,-1279.520344,-1186.310785
gdb_20325,C#CCc1ncon1,5.97147,1.32268,1.20665,1.0164,60.1,-0.2732,-0.0308,0.2424,951.8307,0.083762,-377.485036,-377.47821,-377.477266,-377.516876,24.188,-1266.176993,-1272.559387,-1279.07795,-1185.525771
gdb_20503,CC#Cc1ncno1,9.58189,1.03884,0.94275,3.0119,69.84,-0.264,-0.0544,0.2096,1168.9816,0.083803,-377.499679,-377.492398,-377.491454,-377.534192,24.175,-1275.365607,-1281.462484,-1287.981048,-1196.391717
gdb_20509,CC#Cc1ncon1,9.50798,1.0244,0.93014,1.4887,67.7,-0.2597,-0.0421,0.2176,1180.2129,0.083748,-377.497399,-377.49011,-377.489166,-377.531871,24.26,-1273.934886,-1280.026744,-1286.545307,-1194.935268
gdb_20519,CC(=O)c1ncno1,5.1004,1.66859,1.26708,1.7162,57.46,-0.2801,-0.0903,0.1898,879.2603,0.083338,-414.671243,-414.664303,-414.663359,-414.703198,23.766,-1246.347708,-1252.657939,-1259.176502,-1165.512626
gdb_20523,CC(=O)c1ncon1,5.09441,1.63806,1.24898,3.769,56.18,-0.2676,-0.0749,0.1927,888.4186,0.083389,-414.671242,-414.664332,-414.663388,-414.703196,23.767,-1246.347081,-1252.676136,-1259.1947,-1165.511371
gdb_20543,CC(C)c1ncno1,4.47107,1.4374,1.42756,2.0007,65.66,-0.2841,-0.0206,0.2635,951.6344,0.130912,-379.936687,-379.928986,-379.928042,-379.969576,27.424,-1548.90682,-1558.294355,-1567.184902,-1442.171932
gdb_20549,CC(C)c1ncon1,4.45221,1.5641,1.2569,1.0688,65.27,-0.2896,-0.0213,0.2683,968.9935,0.130835,-379.934711,-379.927096,-379.926152,-379.9671,27.457,-1547.666862,-1557.108363,-1565.99891,-1440.618219
gdb_20561,CC(N)C1=NC=NO1,4.56383,1.48706,1.40499,2.547,61.99,-0.2553,-0.0224,0.2329,925.0815,0.119993,-395.97727,-395.969691,-395.968747,-396.009866,27.0,-1425.768846,-1434.343757,-1442.641308,-1325.227472
gdb_20571,CC(O)C1=NC=NO1,4.66535,1.4891,1.39301,1.5388,58.35,-0.292,-0.03,0.262,907.7819,0.107231,-415.857687,-415.850252,-415.849307,-415.890301,26.218,-1363.000376,-1370.777095,-1378.481023,-1269.207861
gdb_20576,CC(O)C1=NOC=N1,4.62922,1.56779,1.28263,2.0648,58.1,-0.2778,-0.0317,0.2461,918.8311,0.107157,-415.857359,-415.849926,-415.848982,-415.889548,26.313,-1362.794553,-1370.572527,-1378.277083,-1268.735347
gdb_20689,Cc1nc(no1)C#C,7.25153,1.35159,1.14739,1.7962,65.03,-0.2684,-0.0448,0.2236,975.3579,0.082868,-377.497458,-377.490281,-377.489337,-377.529265,25.286,-1273.971909,-1280.134048,-1286.652611,-1193.29998
gdb_20690,Cc1nc(no1)C#N,7.27184,1.35795,1.15248,5.226,59.12,-0.309,-0.0724,0.2366,948.8364,0.072426,-393.596886,-393.590061,-393.589117,-393.628518,23.273,-1187.759703,-1193.253544,-1199.179112,-1113.355333
