NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles
0.0,0.0,,1.0,,,0.0,,0.0,0.0,1.0,0.0,TOX27870,O=C(c1ccccc1)c1cc(Cl)ccc1O
0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,TOX894,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1
0.0,,0.0,0.0,1.0,0.0,1.0,,0.0,,0.0,0.0,TOX28584,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccccc1
0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX17741,Cc1ccc(C(=O)c2ccccc2)cc1
0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX26242,COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1
1.0,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX24836,O=C(c1ccc(O)cc1)c1ccc(O)cc1O
,,,,,,,1.0,,0.0,,,TOX31621,Nc1ccc(Cl)cc1C(=O)c1ccccc1F
0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,,TOX27950,O=C(c1ccc(O)c(O)c1)c1ccc(O)cc1O
,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,TOX18875,COc1ccc(C(=O)c2ccc(OC)cc2O)c(O)c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX17626,O=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
0.0,,,,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,TOX27937,O=C(c1ccc(O)cc1)c1ccc(Cl)cc1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,,,0.0,1.0,0.0,TOX27932,O=C(c1ccc(O)cc1)c1ccc(O)c(O)c1O
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22436,COc1cc(O)c(C(=O)c2ccccc2)cc1S(=O)(=O)O
0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,TOX17728,O=C(c1ccccc1)c1ccc(O)c(O)c1O
,,,,,,,,,0.0,,,TOX31445,O=C(CBr)Nc1ccc(Cl)cc1C(=O)c1ccccc1F
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1961,O=C(c1ccccc1)c1ccccc1
0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TOX7604,CCN(CC)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX2403,COc1ccc(C(=O)c2ccccc2O)c(O)c1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,TOX2404,O=C(c1ccccc1O)c1ccccc1O
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2405,COc1ccc(C(=O)c2ccccc2)c(O)c1
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,TOX2406,O=C(c1ccccc1)c1ccc(O)cc1O
0.0,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,TOX2425,O=C(c1ccc(O)cc1)c1ccc(O)cc1
0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX27862,COc1ccc(C(=O)c2cccc(O)c2)c(OC)c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX9874,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX771,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
0.0,,0.0,,1.0,,0.0,,0.0,,1.0,0.0,TOX16684,O=C(c1ccccc1)c1ccc(O)cc1
0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,,1.0,,TOX9762,CCCCN(CCCC)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX28564,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N
0.0,,,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,TOX3685,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,TOX24950,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7441,CCCCCCCCOc1ccc(C(=O)c2ccccc2)c(O)c1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,TOX21306,O=C(c1ccc(O)cc1O)c1ccc(O)cc1O
0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX27857,Cc1ccc(O)c(C(=O)c2ccccc2)c1
,0.0,,,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,TOX27856,O=C(c1ccccc1)c1cccc(O)c1
