NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX29089,CCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX29087,CCCCn1cc[n+](C)c1.F[B-](F)(F)F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX29083,CCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.0,,0.0,1.0,,,,1.0,0.0,,1.0,,TOX29085,CCCCCCCCCCCCCCn1cc[n+](C)c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX29300,CCn1cc[n+](C)c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX29063,CCCn1cc[n+](C)c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX29088,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
0.0,,0.0,1.0,,,,1.0,0.0,0.0,1.0,,TOX29084,CCCCCCCCCCn1cc[n+](C)c1
0.0,0.0,0.0,1.0,,,0.0,1.0,,0.0,1.0,,TOX27919,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX29090,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX29142,C[n+]1ccn(CCO)c1.F[B-](F)(F)F
0.0,,0.0,,,0.0,,1.0,0.0,0.0,,0.0,TOX29146,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.0,0.0,0.0,1.0,,,0.0,1.0,,0.0,,,TOX27931,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX11461,CCCCn1cc[n+](C)c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX27907,CCCCn1cc[n+](C)c1C
0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,1.0,,,TOX27889,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.0,,,1.0,,,,1.0,,,1.0,,TOX29109,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX29108,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX29107,CCCn1cc[n+](C)c1.F[B-](F)(F)F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX29103,CCCn1cc[n+](C)c1C
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX29289,CCCCCCCCCCCCn1cc[n+](C)c1
0.0,,,1.0,,,,1.0,,1.0,1.0,,TOX29311,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX29122,CCn1cc[n+](C)c1C.F[B-](F)(F)F
0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,TOX27847,CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX27848,C[n+]1ccn(CCO)c1
0.0,0.0,0.0,1.0,,,0.0,1.0,,0.0,1.0,,TOX27849,CCCCCCCCn1cc[n+](C)c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27860,CCn1cc[n+](C)c1.N#C[S-]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX29091,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.0,,0.0,1.0,,,,1.0,,,,,TOX27899,CCCCCCCCCCCCCCCCn1cc[n+](C)c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX29315,CCCCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX29266,CCn1cc[n+](C)c1.COS(=O)(=O)[O-]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27941,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27940,CCn1cc[n+](C)c1.N#CN=C=[N-]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX27943,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27946,COP(=O)([O-])OC.Cn1cc[n+](C)c1
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX29074,CCn1cc[n+](C)c1.F[B-](F)(F)F
0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,,TOX27927,CCCCCCn1cc[n+](C)c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX27923,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.0,,,1.0,,,0.0,1.0,,0.0,1.0,,TOX27922,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27904,C=CCn1cc[n+](C)c1
0.0,,0.0,1.0,,,,1.0,,,,,TOX29153,CCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.0,,,1.0,,,,1.0,,,,,TOX29154,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.0,,,1.0,,,,1.0,0.0,,1.0,,TOX29110,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
0.0,0.0,0.0,1.0,,,,,0.0,,,,TOX27893,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
