NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles
0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0,TOX26521,CCOc1ccc(S(=O)(=O)O)c2cccnc12
0.0,0.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,,TOX26235,Cc1ccc2c(Br)cc(Br)c(O)c2n1
0.0,,1.0,,,,0.0,,1.0,1.0,1.0,1.0,TOX2801,Oc1c(Cl)cc(Cl)c2cccnc12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX25271,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
0.0,1.0,0.0,,,,1.0,0.0,1.0,0.0,1.0,,TOX28924,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1
0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,TOX25849,Oc1c(Br)cc(Br)c2cccnc12
0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,,,TOX20326,O=C(O)CC(O)(CC(=O)O)C(=O)O.Oc1cccc2cccnc12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX24317,O=S(=O)(O)c1ccc(O)c2ncccc12
,,,,,,,0.0,,0.0,,,TOX31541,Cc1ccc2ccc(Cl)cc2n1
0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX26136,O=S(=O)(O)c1cc(I)c(O)c2ncccc12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,TOX27465,CC(C)c1ccc2ncccc2c1
0.0,0.0,1.0,,,0.0,0.0,,0.0,1.0,1.0,,TOX26284,O=[N+]([O-])c1ccc(O)c2ncccc12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX24681,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
,,,,,,,0.0,,0.0,,,TOX27788,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,TOX25973,Oc1ccc(Cl)c2cccnc12
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX12641,O=C(O)c1c(Cl)ccc2cc(Cl)cnc12
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX20271,Cc1ccc2ccccc2n1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX984,O=[N+]([O-])c1ccc2ncccc2c1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX985,O=[N+]([O-])c1cccc2cccnc12
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX27067,Cc1ccnc2ccccc12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22364,Cc1cnc2c(C(=O)O)c(Cl)ccc2c1
0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,TOX25248,COc1cc(NC(C)CCCN)c2ncccc2c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5657,Cc1ccc2cccnc2c1
0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,,TOX2837,Oc1c(I)cc(Cl)c2cccnc12
0.0,0.0,1.0,,,0.0,0.0,,,,,1.0,TOX25706,COc1cc(NCCCC(C)N)c2ncccc2c1
0.0,0.0,0.0,,0.0,,,1.0,0.0,1.0,0.0,1.0,TOX730,Oc1cccc2cccnc12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1798,c1ccc2ncccc2c1
0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,TOX21794,CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX888,Cc1cccc2cccnc12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX887,Cc1ccc2ncccc2c1
0.0,0.0,0.0,,,0.0,,1.0,0.0,1.0,0.0,1.0,TOX26401,Cc1ccc(O)c2ncccc12
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TOX3155,Oc1c(I)cc(I)c2cccnc12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX26851,CCCCCCCCCCOc1cc2c(O)c(C(=O)OCC)cnc2cc1OCC
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,TOX7281,O=C(O)c1cc2ccccc2nc1C(=O)O
0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX21689,CCOC(=O)c1cnc2cc(OCC(C)C)c(OCC(C)C)cc2c1O
