logp,smiles
-5.321432622,[NH3+]CCCC[NH+]1CCCCC1
-4.86960391,C[C@@H]1C[C@H](Br)CC[NH+]1C
-4.209165764,C[NH+]1CCC(OCCO)CC1
-2.299471852,CCCCCO[C@@H]1CCC[NH2+]C1
-6.312549416,[NH3+]CC[NH+]1CCC(CO)CC1
-3.6994168160000003,CCC[NH+]1C[C@@H](C)C[C@H](C)C1
-2.699183802,CC[C@@H](C)CC[NH+]1CCCCC1
-3.7788244669999997,C[C@H]1CCC[NH+](CCCCl)C1
-3.4078353999999997,CC[C@H](CS)C[NH+]1CCCCC1
-5.265541228,COCC[NH+]1CCC[C@H](O)C1
-5.23032859,OC[C@@H]1CCCC[NH+]1CCS
-6.474524971,C[NH2+][C@@H](CCO)[C@H]1CCCC[NH2+]1
-5.761073301000001,C[C@H]1CCC[NH+](CCCC[NH3+])C1
-2.7529953289999995,CCCCC[NH+]1CCC(NC)CC1
-3.144405252,CC(C)CN(C)[C@H]1CCC[NH2+]C1
-2.577593367,CCC(CC)OC[C@H]1CCC[NH2+]C1
-3.854184966,CCN[C@@H]1CCC[NH+](C(C)C)C1
-3.854184966,CCN[C@H]1CCC[NH+](C(C)C)C1
-5.982837587000001,CC(C)C[NH2+][C@H]1CC[NH2+]C[C@H]1C
-5.848688788,CC(C)C[NH2+][C@H]1CC[NH2+][C@@H](C)C1
-5.520690997000001,CCC[NH+]1CC[C@@H](NN)[C@H](C)C1
-1.422965491,CCCC[C@H](CC)C[C@H]1CCCC[NH2+]1
-5.366635837,CC[NH2+][C@@H](C(C)C)[C@@H]1CCC[NH2+]C1
-2.9178644410000003,CCC[C@@]1(C)CC[NH2+]C[C@@H]1CC
-5.462726346,CC[C@H](C)[NH2+][C@@H](C)[C@@H]1CCC[NH2+]C1
-3.975066153,CCO[C@@H]1CCC[NH+](CCCS)C1
-5.090107445,C[C@H](O)[C@H](C)[NH+]1CCC(O)CC1
-6.827816706,C[NH+](C)CC1CC[NH+](CCO)CC1
-5.599492412000001,COC[C@H](C)C[NH2+]CC1CC[NH2+]CC1
-4.163635937,CC(C)C[NH+]1CC[C@H](S)C[C@H]1C
-3.14458214,C[C@@H](CO)CSCC[C@@H]1CCCC[NH2+]1
-2.980819737,CC[C@@H](C)CO[C@@H]1CCC[NH2+][C@@H]1C
-4.62138372,CC[C@H](CS)C[NH+]1CCC[C@H](O)C1
-3.819394794,C[C@H]1C[C@H](C)C[NH+](C[C@@H](C)CS)C1
-3.8661981830000003,C/C(C[NH+]1CCCCC1)=N\O
-4.699230697,CC(C)C[C@@H](C)[NH2+]CC1CC[NH2+]CC1
-2.247928548,CCC(CC)(CS)C[NH+]1CCCCC1
-2.9742799389999997,C[C@@H]1[NH2+]CCC[C@H]1OCCCCCO
-3.269774328,CCC(=O)OC[C@@H]1CCC[NH2+]C1
-3.275362015,CCC[NH+]1CCC[C@H](NCC(C)C)C1
-3.5415832010000003,C[C@H]1CCC[C@H](C)[NH+]1CCOCCS
-5.031948647,CCC(CC)C[NH+]1C[C@@H]([NH3+])C[C@@H](C)C1
-4.115503404,CCCC[NH+]1CCC(OCCC[NH3+])CC1
-5.979880917000001,C[C@H]1C[NH2+]C[C@@H](CC(=O)[O-])C1
-3.4293482839999996,CC(C)(C=O)C[NH+]1CCCCC1
-3.750627811,CC[C@@H](C)[C@](C)(O)[C@@H]1CCC[NH2+]C1
-3.930454768,CN(C)[C@@H]1CCC[NH+](CCCCS)C1
-2.79606508,C=C(C)C[C@@H]1C[C@@H](CC)CC[NH2+]1
-3.85944075,COC(=O)[C@H](C)[NH+]1CCCCC1
-3.434735687,CCN(CC)[C@H]1CC[NH+](CC)[C@@H](C)C1
-6.554402695,N[C@@H](C[NH+]1CCCCC1)C(=O)[O-]
-1.8591597640000002,CCC1(CC)CC[NH+](CCCCS)CC1
-5.083583796,CC[C@H](C)[C@H](C[NH3+])[NH+]1CCC[C@H](C)C1
