logp,smiles
-1.9319991330000001,IC[C@@H]1CCC[NH+](CC2=CC=CC=C2)C1
-3.7821660169999998,CC[NH2+]C[C@@H]1CCCC[NH+]1CC1=CC=CC=C1
-1.185342136,BrCCC[C@H]1CCCC[NH+]1CC1=CC=CC=C1
-2.2690287909999998,CN[C@@H]1CCC[NH+](CC2=CC=C(Cl)C=C2)C1
-2.986140315,CC1CC[NH+](CC2=CC=CC=C2C[NH3+])CC1
-0.568813009,ClC1=CC=C(C[NH+]2CCCCC2)C(Cl)=C1
-2.662220904,OCC[C@@H](O)C1CC[NH+](CC2=CC=CC=C2)CC1
-3.3981211539999996,[NH3+]C[C@@H](C1=CC=CC=C1F)[NH+]1CCCCC1
-1.698902093,COC[C@H]1CCC[NH+](CC2=CC=C(Cl)C=C2)C1
-2.280783971,C[C@H](C1=CC=C(Cl)C=C1)[NH+]1CCC[C@H](O)C1
-3.073608137,OC[C@@H]1CCCC[NH+]1CC1=CC=CC(O)=C1
-3.074374175,C[NH2+]CCC1CC[NH+](CC2=CC=C(F)C=C2)CC1
-1.9641225080000002,CSC1=CC=C(C[NH+]2CCCC[C@@H]2CCO)C=C1
-3.3107197160000004,CN(C)[C@@H]1C[NH+](CC2=CC=CC=C2)CC[C@@H]1CO
-2.657293958,C[C@H]1CC[NH+](CC2=CC=CC(Br)=C2)C[C@@H]1O
-3.234719302,O=C([O-])C[C@@H](C1=CC=CC=C1)[NH+]1CCCCC1
-3.797707791,CN(C)C1=CC=C(C[NH+]2CCC[C@H](C[NH3+])C2)C=C1
-2.9298144089999996,CC(C)[NH2+]CCC[C@H]1CCCC[NH+]1CC1=CC=CC=C1
-2.374088429,COC1=CC=C(C[NH+]2CCCC[C@H]2[C@@H](C)O)C=C1
-3.021261017,C[C@@H]1C[C@H](N)C[NH+](CC2=CC=C(N(C)C)C=C2)C1
-2.651802394,C[C@H]1CC[NH+]([C@@H](C)C2=CC=C(F)C=C2)C[C@@H]1O
-1.9678672480000001,CCOC1=CC=CC(C[NH+]2CCC[C@H](OC)C2)=C1
-1.296706182,COCC1CC[NH+]([C@H](C)C2=CC=CC(C)=C2)CC1
-1.5684530490000002,CCOC(=O)[C@@H](C1=CC=CC=C1)[NH+]1CCCCC1
-2.296594051,NNC(=O)CC1CC[NH+](CC2=CC=CC=C2)CC1
-2.409066197,CCCOC1=CC=CC(C[NH+]2CCC(C[NH3+])CC2)=C1
-2.024394711,CO[C@H]1CCC[NH+](CC2=CC=C(C)C=C2C)C1
-1.770173166,CCO[C@@H]1CCC[NH+](CC2=CC(F)=CC(Br)=C2)C1
-3.215476787,COC1CC[NH+]([C@@H](C[NH3+])C2=CC=CC=C2Cl)CC1
-3.4878058610000005,COC1=CC=C([C@@H](C[NH3+])[NH+]2C[C@@H](C)C[C@@H](C)C2)C=C1
-1.866374942,C[C@H]1C[C@H](C)C[NH+](CC2=CC(Cl)=CC=C2N)C1
-2.388226567,C#CCOC[C@@H]1CCC[NH+](CC2=CC=CC=C2)C1
-2.844546545,O=C([O-])C1CC[NH+](CC2=CC=C(Cl)C=C2)CC1
-1.846723312,OC[C@H]1CCC[NH+](CC2=CC=C(Cl)C(Cl)=C2)C1
-1.640070825,CO[C@H]1CCC[NH+](CC2=CC=CC(Cl)=C2Cl)C1
-3.29538512,C[C@H]1C[C@@H](C)C[NH+]([C@H](C[NH3+])C2=CC=CC(Cl)=C2)C1
-2.35512513,CC1=CC(C[NH+]2CCC(CC[NH3+])CC2)=CC=C1Br
-2.981719418,O=C([O-])[C@H](C1=CC=C(Cl)C=C1)[NH+]1CCCCC1
-3.816737977,C[C@H]1C[C@H](N)C[NH+](CC2=CC=C(O)C=C2O)C1
-2.511907834,CC1=CC=CC(C)=C1C[NH+]1CCC[C@H](OCCO)C1
-2.295224482,OC[C@H]1CCC[NH+](CC2=CC=C(F)C(Br)=C2)C1
-2.002753528,NC(=O)CCOC1CC[NH+](CC2=CC=CC=C2)CC1
-1.632018735,CC(=O)C[C@H]1CCCC[NH+]1[C@H](C)C1=CC=CC=C1
