logp,smiles
-1.858531793,CC[C@@H]1CCCCN1CC[NH3+]
-2.732228207,COCCN1CCC[C@@H]([NH3+])C1
-2.569267388,[NH3+]CCCN1CCCC[C@@H]1CO
-3.0162099139999996,C[NH2+]CCN1CCCC[C@H]1CCO
-3.3209298460000003,CC(C)[NH2+][C@@H]1CCN(C)[C@@H](C)C1
-1.816104526,CCC[NH2+]C[C@H]1CCCCN1CCC
-3.18569209,COC[C@H](O)CN1CCC([NH3+])CC1
-1.953638779,CCCC[C@H]1C[C@@H]([NH3+])CCN1CC
-2.299303435,COCCN1CCC[C@@H]([C@H](C)[NH3+])C1
-2.198916874,CCC[C@H](C)C[NH2+]C1CCN(C)CC1
-1.8213696,CCC[C@H](C[NH3+])N1CCC(OC)CC1
-3.189406196,CCCN1CC[C@H]([NH+](C)C)C[C@@H]1C
-2.305181644,CCCCN1CC[C@@H]([NH3+])[C@H](C)[C@@H]1C
-5.891776427000001,C[C@@H]1CN(CC[NH+](C)C)CC[C@@H]1[NH3+]
0.530381009,C=COC(=O)N1CCCCC1
-0.709124298,CNC(=S)N1C[C@@H](C)C[C@@H](C)C1
-3.335639972,CCC[NH2+]C1CCN([C@@H](C)[C@@H](C)O)CC1
-2.717630626,C=C(C)CN1CC[C@H]([NH3+])[C@H](C)C1
-3.114218667,CCC[NH2+][C@@H]1CCN(CCOC)[C@H](C)[C@@H]1C
0.9050166759999999,CSCCCNC(=S)N1CCCCC1
-3.562417767,O=CN1CCC[C@@H](C(=O)[O-])C1
-3.9133962060000003,C[C@@H]1CN(CC(N)=O)CC[C@@H]1[NH3+]
0.48143968600000003,FC1=CC=NC(Br)=C1
0.6714107890000001,CC[C@H]1CCCCN1C(=O)CCCl
-2.931115114,CCNC(=O)N1C[C@@H](C)C[C@@H]([NH3+])C1
-2.7624968560000003,C[NH2+]C1CCN(C(=O)N(C)C)CC1
-1.578225894,CCOC1CCN(C[C@](C)([NH3+])CC)CC1
