logp,smiles
0.9889890490000001,BrC/C=C/C1=CC=CS1
-2.01236247,C[C@@H]([NH3+])[C@H](C)C1=CSC=C1
1.789225175,CCCC1=CC(Br)=CS1
-0.178700306,OCCC1=CSC=C1Br
0.256466246,CC1=CC=C([C@@H](C)S)S1
-4.372704961,C[NH+](C)CCC[NH2+]CC1=CC=CS1
0.416035466,C[C@H](CS)COCCC1=CC=CS1
-2.154095942,C[C@@H](CCCO)[NH2+]CC1=CC=CS1
-0.777660184,O=C(C1=CC=CS1)C(O)O
0.857849867,CC1=C(C[C@@H](C)CBr)SC=C1
1.5946381619999999,O=C(CCCCl)C1=CC=CS1
-4.130736841,O=C([O-])C[NH2+]CC1=CC=CS1
-1.9597278390000001,C[NH2+][C@H](COC(C)C)C1=CSC=C1
-1.431614243,C[NH2+]CCCN(C)CCC1=CC=CS1
-1.8330760019999999,CC[C@H](C)[NH2+]CCNCC1=CC=CS1
-1.331493171,CC[NH2+]CCC(C)(C)C1=CC=CS1
-0.132045783,CC1=C([C@@H](C)[C@@H](C)O)SC=C1
0.131828509,CN(C)C(=S)SC1=CSC=C1
-1.557048959,CC(C)[NH2+][C@H](C)[C@H](C)C1=CC=CS1
-1.382319176,CC[NH2+]C[C@@H](C1=CC=CS1)[C@H](C)CC
-2.093022775,C[C@H]([NH3+])[C@H](C)C1=CSC=C1Br
0.186537669,C[C@@H](C1=CSC=C1Br)[C@@H](C)Cl
1.123679945,CSC1=C(Br)C(Br)=C(SC)S1
-1.60110123,CCOC(OCC)[C@H]([NH3+])C1=CSC=C1
-0.633161922,COC(=O)[C@H](N)C1=CC=CS1
-2.139878071,C[C@@H](C1=CC=CS1)[NH+](C)CCCCS
-1.084694291,CC[C@@H](C)N(CC[NH3+])CC1=CC=CS1
-1.7389661109999999,CC[C@@H]([NH2+]C[C@H](C)SC)C1=CC=CS1
-1.818299406,COC(OC)[C@H]([NH3+])CCC1=CC=CS1
-2.516198449,C[NH2+][C@@H](CC1=CC=CS1)C(OC)OC
-1.6730217,CCSC[C@H]([NH3+])C1=CSC=C1Br
0.125894446,O=C/C=C(\Cl)C1=CSC=C1
-1.674054575,CC(C)(O)CC[NH2+]CCC1=CC=CS1
-1.801625194,CC[NH2+][C@@H](CSC)C1=C(C)C=CS1
0.7256100959999999,COC(=O)C1=CC(C)=CS1
-1.874395702,C=CC[NH2+]CC1=C(CC)C=CS1
0.247808375,O=[N+]([O-])/C=C/C1=CC=CS1
-2.5374698430000002,C[NH+](C)CC(=O)CC1=CSC=C1
0.84783263,CCC(=O)C1=CSC=C1Br
1.409596163,C=C(Br)CC1=CC=C(Cl)S1
-0.013399183,CC[C@@H](C)[C@@H](O)C1=CSC=C1C
0.48614208700000006,CCC1=C(Br)C=C(C=O)S1
-1.7718502669999998,CC[NH2+]C[C@@H](C)CC1=C(C)C=CS1
-0.525246615,CC1=CSC=C1C(=O)NO
0.681409991,COC(=O)C1=CC(Cl)=CS1
-2.650981538,C[NH2+][C@H](C)CNCC1=CSC=C1C
-3.04673777,C[C@@H](O)[C@@H](C)[NH+](C)CCC1=CC=CS1
-3.04673777,C[C@H](O)[C@H](C)[NH+](C)CCC1=CC=CS1
-2.352894267,CC[C@@H]([NH2+][C@H](C)[C@@H](C)O)C1=CC=CS1
-0.8292784759999999,CC[C@H](C)[C@H]([NH3+])C1=CC=C(Cl)S1
-0.8292784759999999,CC[C@@H](C)[C@@H]([NH3+])C1=CC=C(Cl)S1
-1.11116219,CC1=C(Br)C=C(C(=O)[O-])S1
-2.2984312719999997,C[NH+](C)CCNCC1=CC(Cl)=CS1
-2.013656728,CC[C@@H](CCO)C[NH2+][C@H](C)C1=CSC=C1
-3.477523176,COCC[NH+](CC1=CSC=C1)C[C@@H](C)O
1.3674508419999998,CCCCCC[C@H](O)C1=CSC=C1C
-1.3130123120000001,CC[NH2+]C/C=C/C1=CC=C(Br)S1
-2.143408919,CNC(=[NH2+])N(C)CCC1=CC=CS1
1.189274854,CCC[C@H](C)NC(=O)C1=CC=CS1
2.059009386,CCCCCC(=O)NCC1=CC=CS1
-0.938261763,CC[NH2+]CC(C)(C)COCC1=CC=CS1
0.071154649,CNC(=O)C1=CC(OC)=CS1
-1.216928726,O=C([O-])CCC1=CC(Cl)=CS1
0.993344053,CC1=C(C)SC(C(=O)CCl)=C1
-2.06639611,C[NH2+][C@H](C)C[C@H](C)C1=CSC=C1Br
1.184713927,CCOCCN(C)CC1=CC=C(C)S1
-2.32306151,CCC1=C(C[NH2+]C[C@@H](O)CC)SC=C1
-2.008604792,CC1=C(C[NH2+][C@H](C)CCCO)SC=C1
-4.647082079,[NH3+][C@@H](C(=O)[O-])[C@@H](O)C1=CC=CS1
-2.566935249,CC[C@@H](C[NH3+])[C@@H](O)C1=CSC(I)=C1
-2.113518626,C[C@@H](CC1=CC=CS1)[NH+](C)C[C@@H](C)CCl
-0.85367544,CC(C)C[NH2+]CC/C=C/CC1=CC=CS1
0.604466469,C/C=C/C(=O)NCC1=CSC=C1
-1.724689968,C[NH2+][C@H](CCCOC)C1=CSC=C1Br
-2.090244226,CCC[NH2+][C@H](COC)C1=CSC=C1Br
-0.8567448940000001,CCN(CC1=CC=CS1)C[C@](C)([NH3+])CC
-0.964982254,CCCC[C@H](CC)[NH2+]CC1=CSC=C1C
0.053485789000000006,CC(CO)(CO)CC1=CC=C(Cl)S1
-2.001252481,CC(C)[C@H](CS)C[NH+](C)CCC1=CC=CS1
-1.681812496,CC[C@@H](CBr)C[NH+](C)[C@@H](C)CC1=CC=CS1
-2.029845231,C[NH2+][C@H](COC(C)C)C1=CSC=C1C
-2.87476354,O=C([O-])[C@@H](O)C1=CSC=C1Br
-3.122779405,C[NH+](CCC(N)=O)CCC1=CC=CS1
-2.66708997,CCOC(=O)C[NH+](C)CC1=CSC=C1
-0.84323888,CCC[C@H](C)[NH2+][C@H](C)C1=CC=C(Cl)S1
-2.097409524,CC[NH2+][C@@H](C1=CC=C(C)S1)[C@@H](C)OC
-2.170958332,CCC[NH2+]CC1=CC(C#N)=CS1
