logp,smiles
-1.016974338,CN1N=CC=C1I
-0.396476211,CN1N=CC=C1CBr
-0.279011351,CC1=C(I)C=NN1C
-1.148798286,CN1N=C(Br)C=C1N
-0.678490845,CN1N=CC(Br)=C1N
-0.12214939,CC1=C(Br)C(Cl)=NN1
-2.713188405,CCCC1=C(C[NH2+]C)C=NN1
-3.0264379339999996,C[C@H](C[NH3+])[C@@H](C)N1C=CC=N1
-3.4007746,C[NH2+]C[C@H](C)[C@H](C)N1C=CC=N1
-0.39331716200000005,FC(F)C1=C(CBr)C=NN1
-1.2425843840000002,CN1N=CC(I)=C1C=O
0.116488627,CC(C)CCN1N=CC=C1N
-0.667324072,CC1=CC=NN1C[C@@H](C)CS
-0.322536161,CCN1C=C(Cl)C(CO)=N1
-2.777397368,C[NH2+]CC1=CN(CCOC)N=C1
-0.927922765,NC1=C(Cl)C=NN1CCO
-0.544134849,CC(C)(C)[C@@H](O)CN1C=CC=N1
-0.600286776,CCO[C@H](C)N1C=C(I)C=N1
-2.8708749730000003,C[C@H]([NH3+])[C@H](C)C1=CN(C)N=C1
-2.9799044869999998,CCC1=C(C)C(C[NH2+]C)=NN1
0.0022626770000000003,COCCCN1C=C(C)C(I)=N1
1.017773612,CCC(CC)N1C=CC(CCl)=N1
-1.8847448180000002,CCCC[C@H]([NH3+])C1=CC=NN1C
-0.777342092,C[C@H](Cl)[C@@H](C)C1=CC=NN1C
0.42667881,CCCC1=C(CCl)C=NN1C
-1.7105306,NC(=S)C1=NNC=C1Br
-2.4086956319999997,CCN1N=CC(Cl)=C1C[NH2+]C
-0.19250228600000002,CC[C@@H](CS)CN1C=C(Br)C=N1
-2.056198437,CCN1C=C(C[NH2+]CC(C)C)C=N1
0.558399972,CC1=C(CCl)C=NN1C(C)C
-4.437690254,CN1N=CC=C1[C@@H](O)C[NH+](C)C
-1.4494385330000001,C[C@@H](O)[C@@H](C)NC1=CN(C)N=C1
-0.635419817,COC[C@H](C)N1C=C(Br)C(I)=N1
-1.708897685,O=C(CC1=NNC=C1)NCCCO
0.244228625,CCC(CC)N1N=CC(N)=C1C
-1.429001428,CCC1=NN(CC)C(CC)=C1C[NH3+]
-2.5574200940000003,C[NH2+]CC1=C(C)N(C)N=C1C
0.386831862,CCCN1N=CC(N)=C1C(C)C
-2.047430484,CC(C)[NH2+]CC1=C(C(C)C)NN=C1
0.12174331699999999,CCN1N=C(C)C(CO)=C1C
0.8015010290000001,CCCCCC[C@@H](C)N1C=CC(N)=N1
-1.060017345,CCCC[C@@H]([NH3+])C1=CC=NN1CCC
